Product Name,Sub - Category ,Heyzack Refeance Number,Specs-final,Features,Automations ,Connected Scenes,Product Description,Page Slug,Short Keywords ,Long Keywords,,,,,,,,,,,,,,,
"10.1"" touch control panel with Gateway",Smart Control Panel,HZ-SC-PTZCAM03,"Model: GS-T2E-TPA10-M2U | Description: T2E MAX is a Tuya smart central control panel, Zigbee & Bluetooth independent chips, integrate Zigbee and Bluetooth gateway functions, support Bluetooth BLE & BLE mesh Sub-devicee, and have edge capabilities for locaalized control | Device control: Fully compatible device access and diversified control forms are compatible with almost all Tuya ecological devices | Scene control: Customs physical buttons, screen interaction, and voice interaction can trigger scenes to meet different needs in life | Technology: I-Share technology and T- Control Technology | Interface: A variety of base forms are supported, the standard base uses zero-fire wire wire w, supports dual relays, RJ45 network port and RS485 | Languages: Chinese;Chinese;English;Spanish;French;Arabic;German;Portuguese;Italian;Korean;Japanese;Hindi;Greek;Polish;Hungarian;Czech;Slovak;Hebrew","<h1>Effortless Smart Home Control</h1>
<p>Take command of your smart home with just a tap. This 10.1"" touch control panel makes it easy to manage lights, thermostats, locks, and more—all from one intuitive screen.</p>

<h1>Seamless Multi-Device Harmony</h1>
<p>No more juggling multiple apps. This panel connects with almost any Tuya smart device, so you can control everything from lights to security cameras with one unified system.</p>

<h1>Instant Scene Activation</h1>
<p>Create personalized scenes—like ""Movie Night"" or ""Good Morning""—and trigger them with a tap, a voice command, or even a physical button press for effortless automation.</p>

<h1>Fast, Reliable Connectivity</h1>
<p>With built-in Zigbee and Bluetooth gateways, this panel keeps your devices connected and responsive, so you never have to wait for a laggy response.</p>

<h1>Localized Smart Control</h1>
<p>Keep your smart home running smoothly even if the internet goes down. This panel’s edge capabilities ensure your devices stay operational locally.</p>

<h1>Easy Installation &amp; Flexibility</h1>
<p>Set up in minutes with a variety of base options, including zero-fire wire wiring, dual relays, and network ports. Works with your</p>","

## Automations
• Motion-Activated Security Lighting
• Trigger*: Motion detected by a Zigbee motion sensor
• Action*: Lights connected to the panel turn on (via relay or compatible smart bulbs)","

## Connected Scenes
• Controls smart thermostat from the touchscreen interface
• Monitors live video feeds from security cameras
• Opens smart garage door with a single touch command","Command every room from one stunning screen. Your entire smart home answers to a single touch.

• Control lights, temperature, and security from a brilliant 10.1-inch display.
• See live camera feeds while adjusting locks and lighting simultaneously.
• Create custom scenes that set multiple devices with one tap.
• Built-in gateway connects directly to smart devices without extra hubs.

Transform your home into a responsive sanctuary where comfort and security await your command.",10-1-inch-tuya-smart-control-panel-gateway,"smart panel, touch control, tuya gateway, zigbee hub, bluetooth mesh, home automation, wall tablet, scene controller, 10 inch display, edge control","10.1 inch smart home control panel with gateway, tuya zigbee bluetooth touch screen hub, wall mounted automation controller 1280x800, buy t2e max smart panel for tuya devices, smart house scene controller with voice triggers, zero wire dual relay smart switch panel, morning automation wake up routine setup, goodnight security guardian system panel, night security sweep sensor integration, localized edge control without cloud dependency",,,,,,,,,,,,,,,
3 gang rotate control panel (Gateway),Smart Control Panel,HZ-SC-PTZCAM04,"Product Description: Smart knob central control screen with 3gang switch, based on WiFi Bluetooth gateway, which can control smart home devices such as curtains, air conditioners, TVs, switches, lighting dimming systems, door locks, cameras, etc. | Input: 100-240VAC, 50/60Hz | Wireless Protocol: Wi-Fi, BLE | Operation Temperature: 0~40℃ | Operation Humidity: 5% ~ 90%RH without condensation | Size: 86×86×11.5mm (panel) and 86×86×51.4mm (with base) | Load: Maximum Load Single: 200W MAX; Total 600W MAX | Screen Size: 1.6 inch | Screen Resolution: 400*400 | Screen Type: TFT Display","<h1>Centralized Smart Home Command Center</h1>
<p>Take full control of your smart home from one sleek, intuitive panel. Adjust lights, curtains, thermostats, and more with just a twist or tap—no need to juggle multiple apps or remotes.</p>

<h1>Universal Smart Device Compatibility</h1>
<p>Seamlessly connect and control a wide range of smart home gadgets, from lights and locks to air conditioners and cameras, all from one convenient hub.</p>

<h1>Instant Smart Home Access</h1>
<p>No complicated setup—just plug and play. Enjoy hassle-free Wi-Fi and Bluetooth connectivity, so you can start controlling your smart home devices right away.</p>

<h1>Durable and Reliable Performance</h1>
<p>Built to last with a wide operating temperature and humidity range, ensuring smooth, uninterrupted operation in any household environment.</p>

<h1>Energy-Efficient Power Management</h1>
<p>Safely manage your smart devices with a high power capacity, ensuring your home stays efficient without overloading your electrical system.</p>

<h1>Elegant and Space-Saving Design</h1>
<p>Fits seamlessly into any home decor with a compact, modern design, blending style and functionality for a clutter-free smart home experience.</p>","

## Automations
• Action: Adjust the brightness of connected smart lights (via Wi-Fi) or dimmer systems.
• Appliance Management - Trigger: Press the touchscreen buttons or rotate the knob.
• Security System Activation - Trigger: Set a schedule (e.g., nighttime) or manual input.","

## Connected Scenes
• Controls garage door via smart home app
• Syncs with thermostat for automated climate adjustments
• Activates security cameras when motion is detected","Transform any wall into your home's command center. Three elegant rotating dials put complete control at your fingertips.

• Adjust lighting, temperature, and scenes with precision dial control.
• Gateway hub connects every smart device into unified ecosystem.
• Sleek glass panel replaces cluttered switches with minimalist design.
• Rotate effortlessly through custom settings for any moment.

Seamlessly integrates with smart speakers, voice assistants, and mobile devices for expanded control options. Create automated routines that respond to your daily rhythms.

Elevate your entire smart home experience with intuitive control that feels as good as it looks.",3-gang-rotate-smart-control-panel-gateway,"smart switch, control panel, home automation, smart home hub, WiFi gateway, Bluetooth control, touchscreen panel, smart knob, 3 gang switch, lighting control","3 gang rotate control panel with gateway, smart home central control screen, WiFi Bluetooth smart switch panel, 1.6 inch TFT display control knob, smart home automation hub, curtain and lighting control panel, 200W per gang smart switch, smart home scene controller, rotate knob smart control, multi-device smart home gateway, wireless smart control panel 86x86, smart home device controller with screen",,,,,,,,,,,,,,,
1 Gang Display Light switch,Smart Switch,HZ-LT-SPOTLT01,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 1gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | W: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey","<h1>Smart Voice Control</h1>
<p>Enjoy hands-free convenience by controlling your lights with simple voice commands, making your home automation experience effortless.</p>

<h1>Energy-Efficient Operation</h1>
<p>Save on electricity bills with low wireless power consumption, ensuring your smart switch remains eco-friendly and cost-effective.</p>

<h1>Durable and Safe Design</h1>
<p>The flame-retardant panel material provides added safety and longevity, protecting your home and family.</p>

<h1>Universal Compatibility</h1>
<p>Works seamlessly with both UK and EU standards, making it a versatile choice for any home setup.</p>

<h1>Reliable and Fast Connectivity</h1>
<p>Dual WiFi and ZigBee communication ensure a stable and responsive connection, allowing you to control your lights without delay.</p>

<h1>Easy Manual or App Control</h1>
<p>Switch between manual button control or app-based management, giving you flexibility and convenience in how you operate your lights.</p>","

## Automations
• Remote APP turns porch light on at sunset and off at 11 PM using WiFi connection
• Manual button press at night triggers hallway light while APP simultaneously activates outdoor lighting
• Voice command ""movie time"" dims the 600W ceiling fixture while manual switch controls side lamps","

## Connected Scenes
• Displays live video feed from doorbell when someone rings
• Turns lights on/off automatically when doorbell is pressed
• Shows doorbell camera footage on command via voice assistant","Light becomes effortless. One touch transforms every moment at home.

• Control any light from your phone or the sleek wall display.
• Set schedules that welcome you home and dim for bedtime.
• See real-time status so you always know which lights are on.
• Replace any standard switch in minutes with existing wiring.

The 1 Gang Display Light switch brings intelligent lighting to every room without complexity.",1-gang-display-smart-light-switch,"smart switch, display switch, 1 gang switch, WiFi light switch, ZigBee switch, UK EU standard, voice control light, app controlled switch, 600W load, flame retardant","1 gang display smart switch uk eu standard, voice controlled light switch with app, wifi zigbee compatible smart wall switch, 600w load capacity smart light switch, pc flame retardant smart switch white black grey, welcome glow automation smart hallway light, sleep save mode mm wave sensor compatible, security snapshot scene video doorbell integration, wake up soft lighting voice command good morning, uk eu back box compatible smart display switch",,,,,,,,,,,,,,,
2 Gang Display Light switch,Smart Switch,HZ-LT-SPOTLT02,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 2gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | W: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey","<h1>Control Two Rooms from One Switch</h1>
<p>Manage lighting in two separate areas with a single elegant panel, reducing wall clutter while giving you complete command over multiple spaces.</p>

<h1>Choose Your Perfect Control Style</h1>
<p>Switch between traditional button pressing, smartphone app commands, or hands-free AI voice control—use whichever method fits your mood or situation without extra setup.</p>

<h1>Fits Any Home, Anywhere</h1>
<p>Works safely with standard UK and EU electrical systems across 100V-240V, so you can install confidently knowing it matches your existing wiring.</p>

<h1>Reliable Wireless Connection</h1>
<p>Dual WiFi and ZigBee communication ensures your lights respond instantly every time, even if one network experiences interference.</p>

<h1>Fire-Safe Peace of Mind</h1>
<p>PC flame-retardant panel material provides an extra layer of protection for your family, meeting safety standards without compromising on style.</p>

<h1>Sleek Design That Disappears</h1>
<p>Ultra-slim 86×86×34mm profile and choice of white, black, or grey finishes blend seamlessly with any décor, maintaining your room's aesthetic appeal.</p>","

## Automations
• Trigger: Motion sensor detects movement in the hallway.
• Action: The 2 Gang Display Light switch turns on the hallway lights via the connected devices (WiFi or ZigBee).
• Scheduled Lighting for Energy Saving (Energy Efficiency):","

## Connected Scenes
• Turns on hallway lights when doorbell rings
• Controls smart plugs for automated appliance scheduling
• Acts as a dashboard to check device status","Transform any room into a perfectly lit sanctuary with intelligent control at your fingertips.

• Set automated schedules that welcome you home with warm light.
• Dim both circuits independently to create the perfect ambiance.
• Control two separate lighting zones from one sleek wall switch.
• Save energy by ensuring lights are never left on unnecessarily.

Elevate your everyday lighting from ordinary to extraordinary with intelligent control that adapts to your life.",2-gang-display-smart-light-switch-wifi-zigbee,"smart switch, 2 gang switch, wifi light switch, zigbee switch, display switch, EU switch, UK switch, touch screen switch, home automation, 600W switch","2 gang smart light switch with display screen, wifi zigbee 2 gang light switch UK EU, buy smart switch 600W LED ceiling lights control, smart display switch for porch hallway security lighting, voice app remote control 2 gang light switch 100-240V, best 2 gang smart switch for movie night automation, zigbee door sensor trigger 2 gang security flood lights, pc flame retardant smart switch white black grey options, 86x86mm smart display switch for home automation scenes, install 2 gang wifi switch no neutral wire required",,,,,,,,,,,,,,,
3 Gang Display Light switch,Smart Switch,HZ-LT-SPOTLT03,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 3gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | W: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey","<h1>Smart Lighting Control at Your Fingertips</h1>
<p>Control your lights effortlessly with a simple touch, voice command, or through your smartphone app. No more fumbling for switches in the dark or getting up to adjust the lighting.</p>

<h1>Seamless Smart Home Integration</h1>
<p>Works with WiFi and ZigBee, so it connects easily with other smart home devices. Enjoy a unified smart home experience where all your devices work together.</p>

<h1>Energy-Efficient Lighting Management</h1>
<p>Low power consumption means you save on electricity bills without sacrificing convenience. Perfect for eco-conscious homeowners who want to reduce their carbon footprint.</p>

<h1>Durable and Safe Design</h1>
<p>Made with flame-retardant PC material, this light switch is built to last and meets UK/EU safety standards. Rest easy knowing your home is protected with a reliable and long-lasting device.</p>

<h1>Customizable Lighting for Every Occasion</h1>
<p>Choose from three separate control buttons to manage different lights or appliances in one convenient location. Tailor your lighting to suit any mood or activity.</p>

<h1>Sleek and Stylish Aesthetic</h1>
<p>Available in white, black, or grey, this light switch blends seamlessly with any home décor. Upgrade your home’s look with a</p>","

## Automations
• Morning Wake-Up Lighting:
• Trigger: Time-based (e.g., 7:00 AM daily).
• Action: Gradually dim up the lights connected to the 3-gang switch to simulate a sunrise effect.","

## Connected Scenes
• Activates indoor lights when doorbell rings for visibility
• Turns on hallway lights when motion detected at the door
• Syncs with smart plugs for automated appliance control","Control three lights from one elegant wall command center.

• Control three separate lights independently from one sleek wall panel.
• Create perfect ambiance with dimming and brightness adjustments.
• Schedule automatic lighting that follows your daily routine.
• Save energy by turning off forgotten lights remotely.

The 3 Gang Display Light switch brings sophisticated lighting control to every room in your home.",3-gang-display-smart-light-switch,"smart switch, 3 gang switch, WiFi light switch, ZigBee switch, UK light switch, EU light switch, voice control switch, app control lighting, 600W smart switch","3 gang smart light switch UK, WiFi ZigBee display light switch, voice control ceiling lights UK, app controlled 3 gang light switch, no neutral wire smart switch EU, welcome home lighting automation setup, away security lighting sweep system, 600W load smart wall switch white, dual protocol WiFi ZigBee light panel, retrofit 3 gang smart switch UK EU",,,,,,,,,,,,,,,
4 Gang Display Light switch,Smart Switch,HZ-LT-SPOTLT04,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 4gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | W: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey","<h1>Smart Control at Your Fingertips</h1>
<p>Take control of your lights effortlessly with app, voice, or manual buttons—perfect for busy households or tech-savvy homeowners.</p>

<h1>Seamless Connectivity</h1>
<p>Enjoy smooth, reliable smart lighting control with WiFi and ZigBee—no lag, no hassle, just instant responsiveness.</p>

<h1>Energy-Saving Intelligence</h1>
<p>Reduce your electricity bill with ultra-low wireless power consumption, keeping your home efficient and eco-friendly.</p>

<h1>Sleek, Modern Design</h1>
<p>Upgrade your home’s aesthetic with a stylish, flame-retardant panel in your choice of white, black, or grey.</p>

<h1>Powerful and Reliable</h1>
<p>Handle up to 600W of lighting load effortlessly, ensuring your lights stay bright and consistent.</p>

<h1>Built for Your Home</h1>
<p>Designed to meet UK and EU standards, this switch is a perfect fit for your home’s electrical system. [/s]</p>","

## Automations
• Here are three practical automations using the actual features of the 4 Gang Display Light switch:
• Motion-Activated Lighting for Hallway:
• Trigger:* Motion detected in the hallway (using a compatible motion sensor).","

## Connected Scenes
• Lights on when doorbell rings, alerts via phone
• Syncs with security cameras when motion triggers lights
• Turns off lights when smart door lock engages","Transform every room with perfect lighting control. One elegant switch commands your entire lighting scene.

• Control four light zones independently from one stunning glass display.
• Create custom scenes that set mood instantly with gentle taps.
• Adjust brightness precisely to match every moment of your day.
• Replace four traditional switches with one sleek, modern design.

Elevate your home with lighting that responds to your life.",4-gang-display-light-switch-uk-eu,"smart switch, 4 gang switch, wifi light switch, zigbee switch, uk eu standard, voice control switch, app control switch, 600w load switch, flame retardant switch","4 gang smart light switch uk, wifi zigbee light switch 240v, voice activated 4 way switch, smart switch for multiple lights, uk standard smart light switch, app controlled 4 gang switch, 600w load smart switch, flame retardant pc light switch, bedtime automation light switch, welcome glow smart lighting, security flash light switch, 86x86mm smart wall switch",,,,,,,,,,,,,,,
Smart switch PC,Smart Switch,HZ-SS-CONACC02,"Colors: Grey, Black, White | Control: 4 street lamp control | Power supply mode: zero live wire | Rated voltage: AC100V - 240V 50 ~ 60Hz | Operating temperature: -20℃-45℃ | Working humidity: ≤ 85% RH (non-condensing) | Shell material: PC | Flame retardant material | Panel material: PC | Wireless connection: ZigBee 3.0 | Power consumption: ≤0.3W | Other functions: You can set binding through the APP to control 8 scenes, 4 dimming lights, and 4 curtains | Product function introduction: UK: TUYA ZIGBEE intelligent switch, PC shell, button control, with backlight, with human body sensing, mobile APP remote control, support intelligent speaker voice control, timing switch, countdown switch, real-time status feedback, intelligent linkage, family sh","<h1>Effortless Lamp Control</h1>
<p>Control up to 4 street lamps from your phone or voice assistant, making outdoor lighting adjustments simple and convenient.</p>

<h1>No-Wire Hassle</h1>
<p>Installation is a breeze with zero live wire technology, ensuring safety and simplicity without the need for complex wiring.</p>

<h1>Versatile Scene Setting</h1>
<p>Customize 8 different lighting scenes through the app, creating the perfect ambiance for any occasion with just a tap.</p>

<h1>Smart Voice Commands</h1>
<p>Integrate with intelligent speakers for hands-free control, allowing you to turn lights on or off with simple voice instructions.</p>

<h1>Energy-Efficient Operation</h1>
<p>Low power consumption ensures your smart switch operates efficiently, helping you save on electricity bills without sacrificing performance.</p>

<h1>Durable and Weather-Resistant</h1>
<p>Built with flame-retardant and weather-resistant materials, this switch is designed to withstand extreme temperatures and humidity, ensuring long-lasting reliability.</p>","

## Automations
• Motion-Activated Lighting for Security
• Trigger:* Motion detected by the built-in human body sensor.
• Action:* Turns on the connected street lamps to full brightness.","

## Connected Scenes
• Automates lights when motion detected by cameras
• Turns on AC when temperature reaches a set point
• Controls smart plugs for automated appliance scheduling","Transform any space into a responsive, connected room with one sleek wall tap. Smart switch PC puts instant command of lights, fans, and outlets at your fingertips.

• Schedule sunrise-to-sunset lighting that follows your daily rhythm.
• Cut standby power and watch monthly utility bills shrink.
• Create movie, dinner, or bedtime scenes with a single press.
• Control from couch or across town using mobile devices.

Pair with smart speakers or voice assistants for hands-free operation. Set automations through smart displays and manage everything from mobile devices with ease.

Upgrade to Smart switch PC and feel your whole home click into perfect sync.",smart-switch-pc-zigbee-4-control,"zigbee switch, smart switch, PC switch, lamp controller, home automation, voice control, wireless switch, scene control","zigbee smart switch PC shell, 4 street lamp control switch, Tuya zigbee wireless light switch, app controlled scene switcher, flame retardant PC material switch, AC 100-240V smart wall switch, human body sensing light controller, timing countdown smart switch, family sharing automation switch, 8 scene 4 dimming curtain control",,,,,,,,,,,,,,,
Smart 1 Gang Dry Contact Switch with power monitering (16A),Smart DIY Breaker,HZ-SN-CONACC06,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight: 50g,"<h1>Remote Control Convenience</h1>
<p>Never leave the couch again—control your lights, fans, or other devices with just a tap on your smartphone, whether you're home or away.</p>

<h1>Energy Monitoring Insight</h1>
<p>Track electricity usage in real-time, helping you save money and reduce your environmental footprint by identifying power-hogging appliances.</p>

<h1>Compact and Sleek Design</h1>
<p>Fits seamlessly into any decor with its mini size, ensuring a clean, uncluttered look while saving space in your electrical panel.</p>

<h1>Universal Voltage Compatibility</h1>
<p>Works effortlessly with both 110V and 220V systems, making it a versatile choice for homes worldwide.</p>

<h1>Lightning-Fast Response</h1>
<p>Enjoy instant control—no lag between pressing the button on your app and the device responding.</p>

<h1>Durable and Reliable</h1>
<p>Easily sync with your favorite smart home platforms (like Alexa or Google Assistant) for automated routines—like turning lights on at sunset or off when you leave.</p>","

## Automations
• Automated Lighting Control for Security
• Trigger:* Motion detected by a smart sensor (e.g., at night).
• Action:* The switch turns on a connected light (up to 16A) to deter intruders.","

## Connected Scenes
• Controls smart door locks when doorbell rings
• Turns on security cameras when motion is detected
• Activates outdoor lights for better nighttime visibility","Transform any circuit into an intelligent switch that thinks ahead. Monitor power from anywhere while keeping complete manual control.

• Control lights, pumps, or heaters remotely with real-time 16A power tracking.
• See exact wattage draw and prevent overloads before they trip breakers.
• Wire directly into existing circuits for invisible smart home upgrades.
• Monitor energy costs and spot inefficient appliances instantly.

Take command of every circuit in your home with professional-grade monitoring that fits in your palm.",smart-dry-contact-switch-16a-power-monitoring,"smart switch, dry contact, 16A relay, power monitor, WiFi control, mini relay, pool pump switch, garage automation, energy tracking, wireless switch","smart dry contact switch with power monitoring, 16A WiFi controlled relay for pool pump, mini smart switch for garage door circuit, wireless energy monitoring relay 100-240V, automatic pool pump shut off switch, security cut off for forced entry protection, smart home dry contact for outdoor equipment, remote power control with usage tracking, 16 amp smart relay for high load devices, poolside automation with power alerts",,,,,,,,,,,,,,,
Smart 2 Gang Dry Contact Switch with power monitering (16A),Smart DIY Breaker,HZ-SN-CONACC07,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight:50g,"<h1>Effortless Smart Home Control</h1>
<p>Take full command of your smart home devices with just a tap on your smartphone. No more fumbling with multiple remotes or switches—everything is at your fingertips.</p>

<h1>Versatile Device Compatibility</h1>
<p>Works seamlessly with a wide range of smart home gadgets, from lights and fans to security systems, giving you the flexibility to customize your home automation setup.</p>

<h1>Real-Time Power Monitoring</h1>
<p>Keep track of your energy usage and identify power-hungry devices, helping you save on electricity bills and reduce your carbon footprint.</p>

<h1>Compact and Space-Saving Design</h1>
<p>Its sleek, mini size ensures it fits neatly into your existing switchboard, making installation a breeze without cluttering your workspace.</p>

<h1>Reliable High-Current Handling</h1>
<p>With a robust 16A current rating, this switch can handle high-power devices like heaters or air conditioners, ensuring smooth and safe operation.</p>

<h1>Universal Voltage Adaptability</h1>
<p>Works with both 110V and 220V power systems, making it a perfect fit for homes in different regions, so you don’t have to worry about compatibility issues.</p>","

## Automations
• Automated Outdoor Lighting with Power Monitoring
• Trigger:* Motion detected by a connected sensor (e.g., at sunset or when it gets dark).
• Action:* The switch turns on the connected outdoor lights, and the power monitoring feature tracks energy usage.","

## Connected Scenes
• Automates gate locks when power is detected on the switch
• Turns off HVAC when door is left open for safety
• Activates outdoor lighting when motion is detected by a camera","Transform any circuit into an intelligent power guardian. Monitor and control two high-load devices from anywhere with surgical precision.

• Track real-time power consumption for each 16A circuit independently.
• Receive instant alerts when equipment draws unusual current.
• Cut power remotely to prevent damage from overloads or faults.
• Install without rewiring—simply replace existing switch modules.

Secure your home's critical circuits with professional-grade intelligence that fits in your hand.",smart-2-gang-dry-contact-switch-16a-power-monitori,"smart switch, dry contact switch, 16A switch, power monitoring switch, mini smart relay, app control switch, dual gang switch, Wi-Fi switch, DIY breaker, 240V smart relay","2 gang dry contact smart switch with power monitoring, 16A mini Wi-Fi relay for pool pump control, app controlled dual channel dry contact switch, smart 16A switch for garage door opener, vacation security shield smart switch, sunrise coffee automation dry contact relay, no rewiring smart switch for water heater, 240V AC 50/60Hz mini smart relay, real time energy monitoring smart switch 16A, HeyZack 2 gang dry contact switch app control",,,,,,,,,,,,,,,
Smart 3 Gang Dry Contact Switch with power monitering (16A),Smart DIY Breaker,HZ-SN-CONACC08,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight:50g,"<h1>Control Three Devices from Anywhere</h1>
<p>Manage three separate switches through your smartphone app, letting you turn off forgotten lights or appliances even when you're miles from home.</p>

<h1>Handles High-Power Appliances Safely</h1>
<p>With 16A capacity, confidently control power-hungry devices like water heaters or air conditioners without worrying about switch failure or safety hazards.</p>

<h1>Works Worldwide Without Adapters</h1>
<p>Operating on 100V-240V means this switch works perfectly whether you're in the US, Europe, or Asia - ideal for international travelers or rental properties.</p>

<h1>Fits Any Electrical Box</h1>
<p>The ultra-compact 45x45x24mm design installs easily in crowded switch boxes where space is tight, eliminating the need for expensive electrical box upgrades.</p>

<h1>Lightweight Yet Durable</h1>
<p>At just 50g, this switch won't stress your wall mountings while maintaining reliable performance for years of daily use.</p>

<h1>Matches Your Home's Frequency</h1>
<p>Automatically adapts to both 50Hz and 60Hz electrical systems, ensuring smooth operation whether your home uses North American or international power standards.</p>","

## Automations
• Automatically activates when motion detected
• Sends notifications to your mobile device
• Integrates with existing smart home systems","

## Connected Scenes
• Activates garage door when camera detects motion at the door
• Turns on outdoor lights when doorbell is pressed at night
• Monitors power usage for smart doorbells to track battery life","Transform your electrical control with intelligent switching that pays for itself. Monitor and manage three circuits from anywhere while tracking real power consumption.

• Control three 16A circuits independently through your phone.
• Track real-time energy usage and costs per connected device.
• Install without rewelling - fits standard wall boxes perfectly.
• Set automated schedules that slash electricity bills instantly.

Take command of your home's electrical destiny today.",smart-3-gang-dry-contact-switch-16a-power-monitori,"smart switch, dry contact, 3 gang, 16A switch, power monitoring, wifi switch, app control, smart breaker","3 gang dry contact smart switch with power monitoring, 16a smart switch app control 220v, smart breaker switch for home automation, dry contact relay switch with energy monitoring, wifi enabled 3 channel power monitoring switch, smart home circuit breaker with app control, 100v-240v smart switch for security systems, three way dry contact controller for lights and pumps",,,,,,,,,,,,,,,
Smart 4 Gang Dry Contact Switch with power monitering (16A),Smart DIY Breaker,HZ-SN-CONACC09,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight:50g,"<h1>Seamless Smart Home Control</h1>
<p>Effortlessly manage your connected devices with a single app, making automation and daily routines a breeze.</p>

<h1>Reliable High-Current Handling</h1>
<p>Power-hungry devices? No problem. This switch safely handles up to 16A, ensuring stable operation for your high-demand appliances.</p>

<h1>Universal Voltage Compatibility</h1>
<p>Works flawlessly in any home, whether you're on 110V or 220V power systems, so you don’t have to worry about voltage mismatches.</p>

<h1>Compact &amp; Space-Saving Design</h1>
<p>Fits neatly into your electrical panel without bulky hardware, keeping your setup tidy and organized.</p>

<h1>Real-Time Power Monitoring</h1>
<p>Track energy usage in real time, helping you save on electricity bills and optimize your home’s energy efficiency.</p>

<h1>Lightweight &amp; Easy Installation</h1>
<p>At just 50g, it’s a breeze to install, reducing hassle and saving you time during setup.</p>","

## Automations
• Security Lighting with Motion Trigger
• Trigger:* Motion detected by a compatible sensor (e.g., door or window sensor)
• Action:* Switch turns on a connected security light or alarm system","

## Connected Scenes
• Activates smart lights when doorbell rings
• Turns on security cameras when motion is detected
• Monitors power usage of connected smart devices","Take command of every circuit from anywhere. Your home's power now answers to you.

• Control four circuits independently with 16A capacity per gang.
• Monitor real-time power consumption for each connected circuit.
• Transform any switch into smart control without rewiring.
• Set schedules that slash energy bills automatically.

The Smart 4 Gang Dry Contact Switch delivers professional-grade power management in minutes.",smart-4-gang-dry-contact-switch-16a-power-monitori,"smart switch, dry contact, 16A relay, power monitor, 4 gang, Wi-Fi switch, automation switch, mini controller, AC 240V, smart home","4 gang dry contact smart switch with power monitoring, 16A mini Wi-Fi relay switch for pool pump garage door, smart away mode security shut off switch, voice control 4 circuit 110V 220V automation, remote power metering dry contact relay 50Hz 60Hz, DIY breaker smart switch for water heater, Zigbee compatible 4 channel switch with timer, compact 45mm smart controller for home assistant, travel security smart switch turns off appliances",,,,,,,,,,,,,,,
